Province/State,Country/Region,Confirmed,ISO,Continent
,Ukraine,15648.0,UKR,Europe
,United Arab Emirates,18878.0,ARE,Asia
,Uruguay,711.0,URY,South America
,Uzbekistan,2486.0,UZB,Asia
,Venezuela,422.0,VEN,South America
,Vietnam,288.0,VNM,Asia
,Yemen,56.0,YEM,Asia
,Zambia,267.0,ZMB,Africa
,Zimbabwe,36.0,ZWE,Africa
Alabama,United States of America,10164.0,USA,North America
Alaska,United States of America,379.0,USA,North America
Alberta,Canada,6300.0,CAN,North America
Anguilla,United Kingdom,3.0,GBR,Europe
Anhui,China,991.0,CHN,Asia
Arizona,United States of America,11383.0,USA,North America
Arkansas,United States of America,4043.0,USA,North America
Aruba,Netherlands,101.0,NLD,Europe
Australian Capital Territory,Australia,107.0,AUS,Australia
Beijing,China,593.0,CHN,Asia
Bermuda,United Kingdom,119.0,GBR,Europe
"Bonaire, Sint Eustatius and Saba",Netherlands,6.0,NLD,Europe
British Columbia,Canada,2353.0,CAN,North America
British Virgin Islands,United Kingdom,7.0,GBR,Europe
California,United States of America,69329.0,USA,North America
Cayman Islands,United Kingdom,84.0,GBR,Europe
Channel Islands,United Kingdom,546.0,GBR,Europe
Chongqing,China,579.0,CHN,Asia
Colorado,United States of America,19879.0,USA,North America
Connecticut,United States of America,33765.0,USA,North America
Curacao,Netherlands,16.0,NLD,Europe
Delaware,United States of America,6565.0,USA,North America
Diamond Princess cruise ship,Canada,1.0,CAN,North America
Diamond Princess cruise ship,United States of America,49.0,USA,North America
District of Columbia,United States of America,6389.0,USA,North America
Falkland Islands (Malvinas),United Kingdom,13.0,GBR,Europe
Faroe Islands,Denmark,187.0,DNK,Europe
Florida,United States of America,40982.0,USA,North America
French Guiana,France,144.0,FRA,Europe
French Polynesia,France,60.0,FRA,Europe
Fujian,China,356.0,CHN,Asia
Gansu,China,139.0,CHN,Asia
Georgia,United States of America,34002.0,USA,North America
Gibraltar,United Kingdom,147.0,GBR,Europe
Grand Princess,Canada,13.0,CAN,North America
Grand Princess,United States of America,103.0,USA,North America
Greenland,Denmark,11.0,DNK,Europe
Guadeloupe,France,154.0,FRA,Europe
Guam,United States of America,151.0,USA,North America
Guangdong,China,1589.0,CHN,Asia
Guangxi,China,254.0,CHN,Asia
Guizhou,China,147.0,CHN,Asia
Hainan,China,168.0,CHN,Asia
Hawaii,United States of America,634.0,USA,North America
Hebei,China,328.0,CHN,Asia
Heilongjiang,China,945.0,CHN,Asia
Henan,China,1276.0,CHN,Asia
Hong Kong,Hong Kong,1047.0,HKG,Asia
Hubei,China,68134.0,CHN,Asia
Hunan,China,1019.0,CHN,Asia
Idaho,United States of America,2260.0,USA,North America
Illinois,United States of America,79007.0,USA,North America
Indiana,United States of America,24627.0,USA,North America
Inner Mongolia,China,209.0,CHN,Asia
Iowa,United States of America,12373.0,USA,North America
Isle of Man,United Kingdom,330.0,GBR,Europe
Jiangsu,China,653.0,CHN,Asia
Jiangxi,China,937.0,CHN,Asia
Jilin,China,127.0,CHN,Asia
Kansas,United States of America,7159.0,USA,North America
Kentucky,United States of America,6677.0,USA,North America
Liaoning,China,147.0,CHN,Asia
Louisiana,United States of America,31815.0,USA,North America
Macau,Macau,45.0,MAC,Asia
Maine,United States of America,1462.0,USA,North America
Manitoba,Canada,289.0,CAN,North America
Martinique,France,187.0,FRA,Europe
Maryland,United States of America,33373.0,USA,North America
Massachusetts,United States of America,78462.0,USA,North America
Mayotte,France,1023.0,FRA,Europe
Michigan,United States of America,47552.0,USA,North America
Minnesota,United States of America,11799.0,USA,North America
Mississippi,United States of America,9674.0,USA,North America
Missouri,United States of America,10157.0,USA,North America
Montana,United States of America,459.0,USA,North America
Montserrat,United Kingdom,11.0,GBR,Europe
Nebraska,United States of America,8407.0,USA,North America
Nevada,United States of America,6152.0,USA,North America
New Brunswick,Canada,120.0,CAN,North America
New Caledonia,France,18.0,FRA,Europe
New Hampshire,United States of America,3160.0,USA,North America
New Jersey,United States of America,140206.0,USA,North America
New Mexico,United States of America,5069.0,USA,North America
New South Wales,Australia,3053.0,AUS,Australia
New York,United States of America,337055.0,USA,North America
Newfoundland and Labrador,Canada,261.0,CAN,North America
Ningxia,China,75.0,CHN,Asia
North Carolina,United States of America,15274.0,USA,North America
North Dakota,United States of America,1518.0,USA,North America
Northern Mariana Islands,United States of America,19.0,USA,North America
Northern Territory,Australia,29.0,AUS,Australia
Northwest Territories,Canada,5.0,CAN,North America
Nova Scotia,Canada,1019.0,CAN,North America
Ohio,United States of America,24777.0,USA,North America
Oklahoma,United States of America,4613.0,USA,North America
Ontario,Canada,21817.0,CAN,North America
Oregon,United States of America,3286.0,USA,North America
